"effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fixed","cond",NA,"(Intercept)",2.42426657726771,0.237050220851521,10.2268058159127,1.50398321816136e-24,1.95965668187147,2.88887647266396
"fixed","cond",NA,"GearCentipede Net",0.723818697983116,0.264083902818502,2.74086640744846,0.00612774165421271,0.206223759562077,1.24141363640416
"fixed","cond",NA,"GearSeine",2.14564622236018,0.274526841008291,7.81579759006289,5.46160792577526e-15,1.60758350119438,2.68370894352599
"ran_pars","cond","Site","sd__(Intercept)",0.363504416451207,NA,NA,NA,0.872042786499322,1.5885478011862
