"cond((Int))","disp((Int))","cond(DaylightPercent)","cond(Gear)","cond(logEffort)","cond(MudDominant)","cond(Occlusion)","cond(Season)","cond(SecchiDepth)","cond(Steepness)","cond(Temperature)","cond(DaylightPercent:Gear)","cond(Gear:logEffort)","cond(Gear:Occlusion)","cond(Gear:SecchiDepth)","r.squaredGLMM1","r.squaredGLMM2","r.squaredGLMM3","r.squaredGLMM4","r.squaredGLMM5","r.squaredGLMM6","df","logLik","AICc","delta","weight"
1.88150787380496,"+",-0.105124199544772,"+",-0.107616730678346,"+",NA,"+",NA,"+",NA,NA,"+",NA,NA,0.354787157055195,0.376407951412168,0.331769114282645,0.354787157400019,0.376407951778006,0.331769114605098,12,-175.263353658185,378.921073513552,0,0.0437291067236658
1.87469205987079,"+",-0.258527724156104,"+",-0.127448940455533,"+",NA,"+",NA,"+",NA,"+","+",NA,NA,0.396327872171037,0.418836854893277,0.372169308190999,0.3963278724827,0.418836855222641,0.372169308483665,14,-172.782640831359,379.652238184456,0.731164670904263,0.0303389268555819
1.77218033549385,"+",-0.128661058693532,"+",-0.0827902354415564,"+",NA,NA,NA,"+",NA,NA,"+",NA,NA,0.341363995833061,0.362626523286334,0.318786545907944,0.341363996146912,0.362626523619734,0.318786546201037,11,-177.056104228058,379.778875122783,0.857801609230876,0.0284774667304951
1.92719241386318,"+",-0.139590004118805,"+",-0.0850686724994738,"+",NA,NA,NA,"+",-0.110042015765254,NA,"+",NA,NA,0.356863807707346,0.378536907648113,0.333780733347671,0.356863807944159,0.378536907899308,0.333780733569166,12,-175.730638671915,379.855643541013,0.934570027461007,0.0274050944351819
1.96063956543628,"+",NA,"+",-0.10120539819668,"+",NA,"+",-0.157320927740038,"+",NA,NA,"+",NA,NA,0.358879827307178,0.380602907058651,0.335734424080081,0.358879827846739,0.380602907630872,0.335734424584844,12,-175.750043391692,379.894452980567,0.973379467014752,0.0268784326452377
1.611492225455,"+",-0.105290320818629,"+",-0.08340233124778,NA,-0.102958854971309,"+",NA,"+",NA,NA,"+",NA,NA,0.348071947806851,0.36951788270376,0.325269942726296,0.348071948196972,0.369517883117918,0.32526994309086,12,-175.756739584551,379.907845366285,0.98677185273317,0.0266990507347011
1.76984833917709,"+",-0.278750196626965,"+",-0.101244268660303,"+",NA,NA,NA,"+",NA,"+","+",NA,NA,0.387569229918293,0.409918556127926,0.363622967094577,0.387569230291076,0.409918556522206,0.363622967444328,13,-174.441008051861,380.082016103721,1.16094259016927,0.0244723190239677
1.93610671328266,"+",-0.0841466190912611,"+",-0.105573203240685,"+",NA,"+",-0.113699208606366,"+",NA,NA,"+",NA,NA,0.364422104024164,0.386278533319285,0.341109437256272,0.36442210430082,0.386278533612534,0.34110943751523,13,-174.477635101673,380.155270203345,1.23419668979295,0.0235921868900497
1.59788913883546,"+",-0.0960639156622956,"+",-0.0724831811461788,NA,NA,"+",NA,"+",NA,NA,"+",NA,NA,0.340051768161953,0.361277394324074,0.317519267651279,0.340051768840972,0.361277395045477,0.317519268285305,11,-177.272480758032,380.211628182731,1.29055466917868,0.022936662285711
1.88480475198347,"+",NA,"+",-0.102640419610029,"+",NA,"+",NA,"+",NA,NA,"+",NA,NA,0.341627769446693,0.362897674081559,0.319041324467427,0.341627769858239,0.362897674518728,0.319041324851764,11,-177.427009688356,380.520686043378,1.59961252982555,0.0196525612477949
1.50393064373471,"+",-0.127300228781104,"+",-0.0581018353252455,NA,-0.107712882687503,NA,NA,"+",NA,NA,"+",NA,NA,0.335122501319606,0.35620651799911,0.312761831006579,0.335122501655598,0.356206518356241,0.312761831320152,11,-177.439898594195,380.546463855057,1.62539034150433,0.0194008866257101
1.96573964856481,"+",-0.117346028320188,"+",-0.104492895828204,"+",NA,"+",NA,"+",-0.076110294595307,NA,"+",NA,NA,0.361385598786913,0.383169703952489,0.338163829953081,0.361385599151312,0.383169704338854,0.338163830294065,13,-174.712684026124,380.625368052249,1.70429453869639,0.0186503827521948
1.91276741008368,"+",-0.289894920481127,"+",-0.102132923417984,"+",NA,NA,NA,"+",-0.103429961351219,"+","+",NA,NA,0.397536858855419,0.420066725259244,0.3733501776673,0.397536859213419,0.420066725637532,0.373350178003519,14,-173.28877301466,380.66450255106,1.74342903750733,0.0182889932908135
1.58131712101332,"+",-0.246374100221961,"+",-0.0973254778761479,NA,-0.107909266745828,"+",NA,"+",NA,"+","+",NA,NA,0.387848106916286,0.410202743341781,0.363894851579203,0.387848107290522,0.410202743737587,0.363894851930327,14,-173.506068313766,381.099093149271,2.17801963571873,0.0147170122459027
1.48437599164024,"+",-0.117911078206595,"+",-0.046296165252617,NA,NA,NA,NA,"+",NA,NA,"+",NA,NA,0.323782431984851,0.344522688852982,0.301834916549525,0.3237824327346,0.344522689650758,0.301834917248453,10,-179.107696005014,381.229090640165,2.30801712661264,0.013790850635105
1.62172094775969,"+",NA,"+",-0.0701200514847176,NA,NA,"+",NA,"+",NA,NA,"+",NA,NA,0.324091630017978,0.344841592704092,0.302132520064476,0.324091630767112,0.34484159350119,0.302132520762852,10,-179.120734248022,381.255167126181,2.33409361262864,0.0136122092885637
1.81817612543591,"+",-0.107200555892914,"+",-0.104203545160813,"+",-0.0478199208520868,"+",NA,"+",NA,NA,"+",NA,NA,0.356148868735961,0.377804055426562,0.333088088285925,0.356148868957686,0.377804055661768,0.333088088493292,13,-175.060962026603,381.321924053206,2.40085053965407,0.0131653538188426
1.47811348051114,"+",-0.265275708524594,"+",-0.0704990848002651,NA,-0.112402546101368,NA,NA,"+",NA,"+","+",NA,NA,0.378960549318569,0.401138606778156,0.355237657800225,0.378960549715696,0.401138607198524,0.355237658172492,13,-175.06360544459,381.32721088918,2.40613737562791,0.0131305982427496
1.92262954057215,"+",-0.238114445531848,"+",-0.125605866880655,"+",NA,"+",-0.101776808781864,"+",NA,"+","+",NA,NA,0.402697541950307,0.425313408350272,0.3783940837178,0.402697542273629,0.425313408691752,0.37839408402161,15,-172.166082632911,381.390988795234,2.46991528168132,0.0127184830953775
1.63587636455691,"+",NA,"+",-0.0807459804624096,NA,-0.0909885104708721,"+",NA,"+",NA,NA,"+",NA,NA,0.331269037163933,0.35223905463389,0.309045972210096,0.331269037572955,0.352239055068804,0.309045972591679,11,-177.924138617654,381.514943901974,2.59387038842164,0.0119541529347216
1.56853182357807,"+",-0.230555600860385,"+",-0.0867209965685975,NA,NA,"+",NA,"+",NA,"+","+",NA,NA,0.379809628323885,0.402005211275464,0.356064058639691,0.379809628940773,0.402005211928401,0.356064059218011,13,-175.172976112322,381.545952224644,2.62487871109198,0.0117702431861915
1.40077834911525,"+",-0.0998523327576216,"+",-0.080263234960972,NA,NA,"+",NA,NA,NA,NA,"+",NA,NA,0.266271473048545,0.28307533246494,0.248456814272998,0.333197591771274,0.354225024510886,0.310905299869778,9,-180.61513720182,381.662706836072,2.74163332251999,0.0111027994239094
1.95172162206912,"+",-0.269948089694295,"+",-0.123490293354902,"+",NA,"+",NA,"+",-0.0706419803397763,"+","+",NA,NA,0.400556681404622,0.423137489641989,0.37630102871652,0.400556681765176,0.423137490022869,0.376301029055241,15,-172.313623439637,381.686070408686,2.76499689513372,0.0109738535192538
1.44075629322858,"+",NA,"+",-0.0778007712867591,NA,NA,"+",-0.168007823843252,NA,NA,NA,"+",NA,NA,0.29135589196716,0.308819989192739,0.272726942559081,0.364770171212023,0.386634777045208,0.341447200053949,9,-180.629712772447,381.691857977326,2.77078446377368,0.0109421434571786
1.70180946185964,"+",-0.13042972612621,"+",-0.0786973409788834,"+",-0.0543755545375625,NA,NA,"+",NA,NA,"+",NA,NA,0.343496919230582,0.364818712504191,0.32084712034317,0.343496919605293,0.364818712902162,0.320847120693173,12,-176.794486317479,381.983338832141,3.06226531858908,0.00945819232676387
1.45934954786822,"+",-0.248978591632214,"+",-0.0591769134295408,NA,NA,NA,NA,"+",NA,"+","+",NA,NA,0.368117703430679,0.390059752504413,0.34469683879137,0.368117704218351,0.390059753339035,0.344696839528928,12,-176.881173429795,382.156713056772,3.23563954321992,0.00867282146658044
1.41412139326771,"+",-0.0760602472925218,"+",-0.0809927455488651,NA,NA,"+",-0.128454878186809,NA,NA,NA,"+",NA,NA,0.295133662836345,0.312695566708353,0.276384449193219,0.369129793560876,0.391094830990053,0.345679763174631,10,-179.579430029991,382.172558690119,3.25148517656692,0.00860437977555668
1.78304428505817,"+",-0.121617021235513,"+",-0.0793507752206821,"+",NA,NA,-0.0476067355809917,"+",NA,NA,"+",NA,NA,0.343931789975025,0.365265558137139,0.321267348591686,0.343931790473306,0.365265558666327,0.321267349057131,12,-176.903559592641,382.201485382464,3.28041186891227,0.00848082729719855
1.55677516320845,"+",-0.132916452617549,"+",-0.0539073955973499,NA,-0.108341556467549,NA,NA,"+",-0.0660888816098131,NA,"+",NA,NA,0.341357786258081,0.362620139877056,0.318780548253533,0.341357786652469,0.36262014029601,0.318780548621836,12,-176.918445146517,382.231256490216,3.31018297666412,0.00835552043039186
1.60324237700729,"+",-0.0938732777493586,"+",-0.078590019428767,NA,-0.109064422112121,"+",-0.057564810480476,"+",NA,NA,"+",NA,NA,0.350348582237297,0.371854778811864,0.327472351675164,0.350348582782161,0.371854779390175,0.327472352184451,13,-175.523021490507,382.246042981014,3.32496946746147,0.00829397381238651
1.81532694621979,"+",-0.259024498564803,"+",-0.123328176972288,"+",-0.0446264628512198,"+",NA,"+",NA,"+","+",NA,NA,0.397198556464719,0.41972260732367,0.373019714064031,0.39719855672871,0.419722607602631,0.373019714311952,15,-172.607333881524,382.273491292459,3.35241777890707,0.00818092355830573
1.36604628971355,"+",-0.247641951172722,"+",-0.100798119147014,NA,NA,"+",NA,NA,NA,"+","+",NA,NA,0.312102251367057,0.330177004656283,0.292745379034862,0.385084130900626,0.40738547807495,0.361200854422011,11,-178.386873230218,382.440413127104,3.51933961355144,0.00752585278675629
1.62751428970148,"+",-0.110010883248257,"+",-0.0794708850073721,NA,-0.103953850268359,"+",NA,"+",-0.0320634765261329,NA,"+",NA,NA,0.349592678477933,0.371078978056893,0.326740981008142,0.349592679016819,0.3710789786289,0.326740981511803,13,-175.648546844888,382.497093689776,3.57602017622349,0.00731556192732656
1.98740893231304,"+",-0.0963959116634969,"+",-0.103756557194444,"+",NA,"+",-0.0948613066121902,"+",-0.0551346065753968,NA,"+",NA,NA,0.367918395607714,0.389855894381054,0.344503298080965,0.367918396021743,0.38985589481977,0.344503298468645,14,-174.207956376568,382.502869274876,3.58179576132375,0.00729446657625179
1.88135815095599,"+",-0.140163588467743,"+",-0.0826694341494099,"+",-0.0291996727398219,NA,NA,"+",-0.104224361626126,NA,"+",NA,NA,0.357098784164276,0.378777749979887,0.33400840429778,0.357098784522288,0.378777750359634,0.334008404632642,13,-175.658980702972,382.517961405945,3.59688789239232,0.00723962921680103
1.70400365077224,"+",-0.278815366760298,"+",-0.0963367348504173,"+",-0.0506189931973305,NA,NA,"+",NA,"+","+",NA,NA,0.388847385529586,0.411220927112915,0.364869200090182,0.38884738578549,0.411220927383544,0.364869200330307,14,-174.215751081807,382.518458685353,3.59738517180051,0.00723782938129935
1.92864164743485,"+",-0.135306828724161,"+",-0.0830037662988893,"+",NA,NA,-0.027542063932546,"+",-0.106779457465802,NA,"+",NA,NA,0.358114620656801,0.379818822531791,0.334992781866793,0.358114621007109,0.379818822903331,0.334992782194483,13,-175.679981257306,382.559962514613,3.63888900106048,0.00708917829576849
1.92402308167289,"+",NA,"+",-0.0994955498326921,"+",-0.0262062760270064,"+",-0.154156851846288,"+",NA,NA,"+",NA,NA,0.358074105820174,0.379777305016803,0.33495351786814,0.358074106355072,0.379777305584122,0.3349535183685,13,-175.689878505837,382.579757011673,3.65868349812121,0.00701936100574958
1.61587738392801,"+",NA,"+",-0.0726619472743347,NA,-0.104770984081012,"+",-0.102351021990119,"+",NA,NA,"+",NA,NA,0.338046820634579,0.359215418635131,0.315583642898014,0.338046821082164,0.359215419110744,0.315583643315858,12,-177.100112606895,382.594591410974,3.67351789742185,0.00696748961180266
1.97558918430072,"+",NA,"+",-0.100599565175659,"+",NA,"+",-0.153877696647331,"+",-0.0154548609026096,NA,"+",NA,NA,0.359425985504125,0.381162469864682,0.336263833233036,0.359425985958068,0.381162470346077,0.336263833657726,13,-175.725935700523,382.651871401046,3.73079788749351,0.00677077119744204
1.59275965705982,"+",-0.0891867967648121,"+",-0.0693188942418601,NA,NA,"+",-0.0344765572502911,"+",NA,NA,"+",NA,NA,0.342513600082315,0.363808180497463,0.319897045819533,0.342513601181359,0.363808181664836,0.319897046846006,12,-177.187581870199,382.769529937581,3.84845642402854,0.00638394168862861
1.61209054744736,"+",-0.100009143770838,"+",-0.0690433464696798,NA,NA,"+",NA,"+",-0.0282505068796921,NA,"+",NA,NA,0.341538240072651,0.362805642270728,0.318954846667192,0.341538240712101,0.362805642949996,0.31895484726436,12,-177.189910350292,382.774186897767,3.85311338421531,0.0063690941003546
1.77769698485985,"+",-0.272709549707078,"+",-0.0983958493216015,"+",NA,NA,-0.0365184650546483,"+",NA,"+","+",NA,NA,0.388924769353186,0.41129976694805,0.364944661536722,0.38892476974656,0.411299767364055,0.364944661905841,14,-174.352480615286,382.791917752312,3.87084423875933,0.00631287891383246
1.92848230707558,"+",NA,"+",-0.0893849611286686,"+",NA,"+",-0.302409532358104,"+",NA,NA,"+",NA,"+",0.387151339950972,0.4094926810021,0.363215583863234,0.387151340270619,0.409492681340194,0.363215584163119,14,-174.356648884544,382.800254290827,3.87918077727466,0.00628661990006819
1.88390187518537,"+",-0.086612986841859,"+",-0.103032158957238,"+",-0.0371707741389013,"+",-0.107973925395191,"+",NA,NA,"+",NA,NA,0.364173381908129,0.386023954076102,0.340868092951121,0.364173382221052,0.386023954407801,0.340868093244019,14,-174.35740624271,382.801769007159,3.88069549360677,0.00628186047967043
1.53791485469788,"+",-0.123118403707435,"+",-0.042362955067626,NA,NA,NA,NA,"+",-0.0656172170365007,NA,"+",NA,NA,0.331337398165713,0.352309463195063,0.309111867062167,0.331337399198104,0.3523094642928,0.309111868025308,11,-178.598861379238,382.864389425143,3.94331591159056,0.00608822137453319
1.28484857611004,"+",-0.122916952598631,"+",-0.0554426419280387,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,0.244589947144138,0.260371689142901,0.22790464992578,0.31915018329958,0.339742795181227,0.297378578506236,8,-182.483897767419,382.887795534838,3.96672202128565,0.00601738589011863
