"effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fixed","cond",NA,"(Intercept)",0.876250879143847,0.0886023598022956,9.88970137024662,4.61402223939329e-23,0.702593444986088,1.04990831330161
"fixed","cond",NA,"GearCentipede Net",0.252717045454025,0.116614531641714,2.16711452591922,0.0302261225859344,0.0241567633622589,0.481277327545792
"fixed","cond",NA,"GearSeine",0.00213443163292753,0.125061287917342,0.017067085014655,0.98638309743957,-0.242981188545258,0.247250051811113
"ran_pars","cond","Site","sd__(Intercept)",0.0439216555254084,NA,NA,NA,0.486344569031291,0.538011714747382
