"effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fixed","cond",NA,"(Intercept)",1.29342642997439,0.116234349322201,11.1277469828563,9.19297192031836e-29,1.06561129153643,1.52124156841236
"fixed","cond",NA,"GearCentipede Net",0.459209436966859,0.124309888335507,3.69407006245128,0.000220692951371689,0.215566532907069,0.70285234102665
"fixed","cond",NA,"GearSeine",0.381621739107849,0.127130760621154,3.00180489161919,0.00268384129374765,0.132450026963204,0.630793451252494
"ran_pars","cond","Site","sd__(Intercept)",0.156374334925604,NA,NA,NA,NA,NA
