"effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fixed","cond",NA,"(Intercept)",1.03587842922479,0.097764554275613,10.5956441667447,3.12184222968654e-26,0.844263423879979,1.2274934345696
"fixed","cond",NA,"GearCentipede Net",0.319747709533395,0.126547013569509,2.52671082876062,0.011513625953959,0.0717201205860564,0.567775298480733
"fixed","cond",NA,"GearSeine",0.0450936896968276,0.135453185956144,0.332909775274149,0.739202390337707,-0.220389676368422,0.310577055762077
"ran_pars","cond","Site","sd__(Intercept)",0.058117957354205,NA,NA,NA,0.485346748521563,0.842306771948992
