"cond((Int))","disp((Int))","cond(DaylightPercent)","cond(Gear)","cond(logEffort)","cond(MudDominant)","cond(Occlusion)","cond(Season)","cond(SecchiDepth)","cond(Steepness)","cond(Temperature)","cond(DaylightPercent:Gear)","cond(Gear:logEffort)","cond(Gear:Occlusion)","cond(Gear:SecchiDepth)","r.squaredGLMM1","r.squaredGLMM2","r.squaredGLMM3","r.squaredGLMM4","r.squaredGLMM5","r.squaredGLMM6","df","logLik","AICc","delta","weight"
2.63471259265847,"+",-0.192098334969293,"+",0.129408789727868,NA,0.255010423323649,"+",NA,NA,NA,"+","+",NA,NA,0.63950881789553,0.697557639194364,0.55994908645038,0.639508818778388,0.69755764015736,0.559949087223404,13,-355.06392395638,741.327847912761,0,0.12872700449231
2.20377578242578,"+",-0.209525831058291,"+",0.162136195137089,"+",NA,"+",NA,NA,NA,"+","+",NA,NA,0.63313025920901,0.69288586156502,0.551074968759276,0.633130260108604,0.692885862549518,0.55107496954228,13,-356.112374872559,743.424749745119,2.09690183235762,0.045116272986484
2.43245587263371,"+",-0.184055528635756,"+",0.149687326919599,"+",0.200004895397855,"+",NA,NA,NA,"+","+",NA,NA,0.643935021654592,0.701285696350262,0.565251928224167,0.64393502206766,0.701285696800118,0.565251928586761,14,-354.669363699855,743.42568392145,2.09783600868911,0.0450952046300623
2.64544470503248,"+",-0.161913554716848,"+",0.136187486285998,NA,0.237781018910873,"+",-0.0826530777541859,NA,NA,"+","+",NA,NA,0.641317579397342,0.699009962842262,0.562241665457242,0.641317579961942,0.699009963457654,0.562241665952226,14,-354.868726387862,743.824409297463,2.49656138470209,0.0369443684348827
2.82661679562977,"+",-0.241459939065727,"+",0.137622528830311,NA,NA,"+",NA,"+",NA,"+","+",NA,NA,0.62889076921146,0.687639152963926,0.548948045756688,0.628890769881045,0.68763915369606,0.548948046341157,14,-355.00167310247,744.09030272668,2.76245481391913,0.0323452283969839
2.63777047174317,"+",-0.190423400165953,"+",0.126710976429833,NA,0.251941556432345,"+",NA,NA,0.0178605693641627,"+","+",NA,NA,0.63991226750682,0.697917136571816,0.560397485114088,0.639912268157723,0.69791713728172,0.56039748568411,14,-355.049872905877,744.186702333494,2.85885442073311,0.0308231708460618
2.35202606011085,"+",-0.193642124703939,"+",0.179961116654108,"+",NA,"+",NA,"+",NA,"+","+",NA,NA,0.641272256480461,0.697703169822465,0.564421417514903,0.641272256887999,0.697703170265866,0.564421417873602,15,-353.585108611309,744.229040752029,2.90119283926811,0.0301775266913994
2.38412373670587,"+",-0.192675397806507,"+",0.223036440770925,NA,0.229925302861876,NA,NA,NA,NA,"+","+",NA,NA,0.602451408190516,0.666259661578205,0.515828717003966,0.602451409633176,0.666259663173663,0.515828718239195,12,-358.08330859187,744.560983380923,3.23313546816178,0.0255624936048522
2.79828635664562,"+",-0.205684248602272,"+",0.139037481039901,NA,0.180737714980564,"+",NA,"+",NA,"+","+",NA,NA,0.645488332719515,0.701752238120588,0.568603058463415,0.645488333008773,0.701752238435059,0.568603058718219,15,-353.764527974728,744.587879478868,3.26003156610727,0.0252210291008147
2.61122708753192,"+",-0.235106437559835,"+",0.125158155481598,NA,NA,"+",NA,NA,NA,"+","+",NA,NA,0.601359585318547,0.662555684251345,0.517982732896559,0.61288435927277,0.675253252693757,0.527909628641742,12,-358.255206060154,744.90477831749,3.57693040472941,0.021525294141747
2.64949749150036,"+",-0.235837212789939,"+",0.211789329770971,NA,NA,NA,NA,"+",NA,"+","+",NA,NA,0.601594328963888,0.6642225812453,0.517065034027041,0.601594329553581,0.664222581896383,0.517065034533877,13,-357.047720942927,745.295441885854,3.96759397309336,0.0177058825382794
1.97391336031389,"+",-0.208190384769086,"+",0.24623775694548,"+",NA,NA,NA,NA,NA,"+","+",NA,NA,0.604173155846846,0.668488112271317,0.516533095994728,0.60417315682195,0.668488113350221,0.516533096828386,12,-358.516205683975,745.426777565133,4.09892965237202,0.0165805296037308
2.62025419926296,"+",-0.226345584859625,"+",0.11880485232714,NA,0.0947155510376496,"+",NA,NA,NA,"+","+","+",NA,0.645801543055026,0.702654405792547,0.567849942465367,0.645801544041636,0.702654406866014,0.567849943332889,15,-354.3765114613,745.811846452012,4.48399853925139,0.0136767135817521
