"effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fixed","cond",NA,"(Intercept)",1.87439827622728,0.243313884846887,7.70362232885644,1.32262371035417e-14,1.39751182498886,2.35128472746571
"fixed","cond",NA,"GearCentipede Net",0.477545917885928,0.132640637323774,3.60029872836215,0.000317851791906347,0.217575045844892,0.737516789926965
"fixed","cond",NA,"GearSeine",0.403918869014963,0.134555717494518,3.00187072341552,0.00268326098994451,0.140194508811761,0.667643229218164
"fixed","cond",NA,"logEffort",-0.109336221826966,0.099906031863947,-1.09439059671454,0.273783706271829,-0.305148446118613,0.0864760024646808
"fixed","cond",NA,"Occlusion",-0.0580082075465524,0.12159838376964,-0.477047521095716,0.633328282889932,-0.296336660313327,0.180320245220222
"fixed","cond",NA,"SecchiDepth",-0.163217563097284,0.170058283398028,-0.959774259953378,0.337168839654681,-0.496525673830125,0.170090547635557
"fixed","cond",NA,"DaylightPercent",-0.234384447961538,0.103268111990106,-2.26966914998886,0.0232276645499976,-0.436786228213595,-0.0319826677094817
"fixed","cond",NA,"SteepnessMedium",-0.377277081860069,0.193793315034206,-1.94680132177664,0.0515585584473622,-0.757104999771737,0.00255083605159911
"fixed","cond",NA,"SteepnessHigh",-0.587619034862228,0.205373347129734,-2.86122344050335,0.00422009513445711,-0.99014339862095,-0.185094671103506
"fixed","cond",NA,"MudDominantTrue",-0.308488174515444,0.213243089199539,-1.4466502791412,0.147994896620096,-0.726436949298602,0.109460600267714
"fixed","cond",NA,"SeasonRainy",-0.209629644997621,0.122628551266254,-1.70946849516691,0.087364202673778,-0.449977188955803,0.0307178989605602
"fixed","cond",NA,"Temperature",-0.041092477235268,0.0768678827694634,-0.534585782185644,0.59293631727633,-0.191750759031263,0.109565804560727
"fixed","cond",NA,"GearCentipede Net:logEffort",0.357244261694299,0.154968465532973,2.30527069146392,0.0211514179097689,0.0535116505102361,0.660976872878362
"fixed","cond",NA,"GearSeine:logEffort",0.0537987469596648,0.147926054836632,0.363686755650177,0.716091934532228,-0.23613099289523,0.34372848681456
"fixed","cond",NA,"GearCentipede Net:Occlusion",0.136261881377398,0.136995819934687,0.994642620792084,0.319910110612231,-0.132244991727124,0.40476875448192
"fixed","cond",NA,"GearSeine:Occlusion",-0.0759654578775604,0.134446776842997,-0.565022529073125,0.572058440545125,-0.339476298327329,0.187545382572208
"fixed","cond",NA,"GearCentipede Net:SecchiDepth",0.27874377613667,0.200920786471642,1.387331699381,0.165340641290946,-0.115053729093211,0.672541281366551
"fixed","cond",NA,"GearSeine:SecchiDepth",-0.0523395651406349,0.217275903227915,-0.240889874869062,0.809640469787686,-0.478192510175758,0.373513379894488
"fixed","cond",NA,"GearCentipede Net:DaylightPercent",0.10628507623382,0.129060946062174,0.823526244590039,0.410208798985429,-0.146669729858708,0.359239882326347
"fixed","cond",NA,"GearSeine:DaylightPercent",0.256977972360051,0.131890452321476,1.94841982749199,0.0513647492644781,-0.00152256409473916,0.515478508814841
"ran_pars","cond","Site","sd__(Intercept)",1.00460349056431e-05,NA,NA,NA,NA,NA
