"cond((Int))","disp((Int))","cond(DaylightPercent)","cond(Gear)","cond(logEffort)","cond(MudDominant)","cond(Occlusion)","cond(Season)","cond(SecchiDepth)","cond(Steepness)","cond(Temperature)","cond(DaylightPercent:Gear)","cond(Gear:logEffort)","cond(Gear:Occlusion)","cond(Gear:SecchiDepth)","R2.LR","df","logLik","AICc","delta","weight"
1.04146235734759,"+",NA,"+",-0.0771603008202796,NA,-0.142013401446329,"+",-0.149618292131348,"+",NA,NA,"+",NA,NA,0.21604563808009,14,-126.897773685821,287.882503893381,10.7281108634376,9.96666416020871e-05
0.948004266585658,"+",NA,"+",NA,"+",-0.00602860988376667,NA,-0.128218674973555,NA,NA,NA,NA,"+",NA,0.133375546985788,11,-131.108480295391,287.883627257448,10.7292342275055,9.96106763589226e-05
0.946032985767451,"+",-0.11593114541198,"+",-0.0900831584827665,"+",-0.0824734292888237,"+",NA,NA,0.0897723108186058,NA,"+",NA,NA,0.215893606268357,14,-126.905917931622,287.898792384983,10.7443993550404,9.88582284010014e-05
0.928187230104416,"+",NA,"+",NA,NA,-0.0778667548773424,NA,NA,"+",0.0543465656352236,NA,NA,"+",NA,0.160898271082617,12,-129.752981670708,287.900329538599,10.745936508656,9.87822774502019e-05
1.07989929913147,"+",-0.119713399475551,"+",0.0549871102256537,"+",-0.0604294749957496,NA,-0.0683168129330391,"+",NA,NA,NA,"+",NA,0.243101164635416,15,-125.422683235567,287.904190000547,10.7497969706036,9.85917887413503e-05
0.841682574020229,"+",-0.164174350826958,"+",-0.0646423068424135,NA,-0.104338802586531,NA,-0.100905628024857,NA,0.0689895157034284,"+","+",NA,NA,0.243070368765973,15,-125.424392050728,287.907607630867,10.7532146009239,9.84234574625667e-05
0.839735551869383,"+",-0.146994732300802,"+",NA,NA,-0.107885561887409,NA,-0.147768811736424,NA,0.0808866009076498,"+",NA,NA,"+",0.215799304896415,14,-126.910968801639,287.908894125018,10.7545010950747,9.83601672192144e-05
0.938988294418052,"+",-0.156688500544491,"+",-0.0861089255402792,NA,NA,"+",NA,NA,0.0712969406239124,"+","+",NA,NA,0.215705791529257,14,-126.915976865633,287.918910253005,10.7645172230617,9.78688046220109e-05
1.02901359801402,"+",-0.0782239246255526,"+",-0.087452597200041,"+",-0.0967953745463847,"+",-0.22023201970329,NA,0.0976808905436821,NA,"+",NA,"+",0.296931763577393,17,-122.32410577135,287.920938815426,10.7665457854835,9.77695884574012e-05
0.851972107953976,"+",-0.150174009175942,"+",0.072764777576229,NA,-0.0659334387507345,NA,-0.0779405576996462,NA,0.0673686334625129,"+",NA,"+",NA,0.242933068764394,15,-125.432009769585,287.922843068582,10.7684500386391,9.76765437359383e-05
0.948016155600173,"+",-0.170283578411843,"+",NA,NA,-0.1153102301336,NA,-0.0354421698136762,"+",NA,"+",NA,"+",NA,0.242742742572555,15,-125.442567218458,287.943957966328,10.7895649363846,9.66507530137723e-05
0.927775249560271,"+",NA,"+",0.0664306309570797,"+",-0.118352969530324,NA,NA,"+",0.0380339587244198,NA,NA,NA,NA,0.160450613754902,12,-129.77538252344,287.945131244063,10.7907382141203,9.65940705531408e-05
0.973712143600073,"+",NA,"+",0.0717633931773315,"+",-0.111061002441646,NA,-0.125814617917162,"+",0.0501692441338824,NA,NA,NA,NA,0.187756081911155,13,-128.386668644517,287.973337289034,10.8189442590912,9.52413632554005e-05
0.985843043061064,"+",-0.117979336770116,"+",0.0461141311839667,NA,-0.090167139654894,"+",NA,"+",0.0464009089511145,NA,NA,"+",NA,0.242438713299957,15,-125.459426306525,287.977676142462,10.8232831125189,9.5034968058265e-05
0.925593850227974,"+",-0.154139729036967,"+",0.0623413108701987,NA,-0.0498761666029218,"+",NA,NA,0.0825123982391482,"+",NA,"+",NA,0.242286362502033,15,-125.467871946893,287.994567423198,10.8401743932554,9.42357167410342e-05
1.16516289078696,"+",NA,"+",-0.0955804663332284,"+",NA,"+",-0.290270657806463,NA,0.105654036301369,NA,"+",NA,"+",0.24203861850979,15,-125.481602129995,288.022027789402,10.8676347594592,9.29506851425689e-05
0.893352448708282,"+",-0.109474052443729,"+",-0.0497398075268703,"+",-0.0438014107961349,NA,-0.104785255149419,NA,NA,NA,"+","+",NA,0.242007858222734,15,-125.483306578102,288.025436685616,10.8710436556732,9.27923904640877e-05
0.986440396145722,"+",NA,"+",NA,"+",-0.0230493071793039,"+",NA,NA,0.107736449727633,NA,NA,"+",NA,0.159569451393243,12,-129.81944117178,288.033248540742,10.8788555107993,9.24306570207415e-05
0.865174559490537,"+",NA,"+",0.0780930032269517,NA,NA,NA,-0.074666418020506,"+",0.0536865689669116,NA,NA,NA,NA,0.131601675183408,11,-131.194361175585,288.055389017837,10.9009959878943,9.1413070453536e-05
0.930457018394166,"+",NA,"+",0.074530496414718,NA,-0.0846572062859822,NA,-0.0965957791631714,"+",NA,NA,NA,"+",NA,0.186766497774653,13,-128.437807514056,288.075615028112,10.9212219981688,9.04932684229755e-05
1.01729858702485,"+",-0.157426341123704,"+",-0.0895513684921307,NA,-0.144322902770494,"+",-0.102572916218435,"+",NA,"+","+",NA,NA,0.295272193143094,17,-122.42312862464,288.118984522007,10.964591492064,8.85520680825159e-05
0.874356798104535,"+",NA,"+",-0.0401598437675199,NA,-0.012449736979235,NA,NA,NA,NA,NA,"+","+",NA,0.158685675084062,12,-129.863584143745,288.121534484673,10.9671414547303,8.84392377922425e-05
1.01994451077866,"+",-0.123624182478742,"+",-0.0963350692498372,NA,-0.127689213537989,"+",NA,"+",0.0372196592574749,NA,"+",NA,NA,0.241018095880974,15,-125.538113084997,288.135049699406,10.9806566694626,8.78436149068812e-05
0.865910367064878,"+",-0.164315817046993,"+",0.0791991354663923,"+",-0.0323969916691036,NA,NA,NA,NA,"+",NA,"+",NA,0.213663881220672,14,-127.025181787744,288.137320097227,10.9829270672844,8.77439515105016e-05
0.95653466259386,"+",-0.132730391905256,"+",0.0982440126314202,"+",NA,NA,-0.188544502559001,NA,NA,"+",NA,NA,"+",0.213655504915202,14,-127.025629182882,288.138214887502,10.9838218575593,8.77047040734655e-05
1.18293042241485,"+",-0.119399239524203,"+",NA,"+",NA,NA,-0.183390941488318,"+",0.0230520216243992,NA,NA,NA,"+",0.213613340638172,14,-127.027881188421,288.142718898581,10.9883258686376,8.75074148257031e-05
1.2426501391135,"+",-0.0980823554283331,"+",0.0850811479770743,"+",NA,"+",-0.223272521194058,"+",NA,NA,NA,NA,"+",0.240946494485616,15,-125.542075125129,288.142973779669,10.9885807497263,8.74962635436999e-05
1.15064613246176,"+",-0.16348889746669,"+",NA,"+",-0.103739871401522,"+",-0.0911748378736987,"+",NA,"+",NA,NA,NA,0.240923281981602,15,-125.543359501335,288.145542532082,10.9911495021391,8.73839575616622e-05
