"cond((Int))","disp((Int))","cond(DaylightPercent)","cond(Gear)","cond(logEffort)","cond(MudDominant)","cond(Occlusion)","cond(Season)","cond(SecchiDepth)","cond(Steepness)","cond(Temperature)","cond(DaylightPercent:Gear)","cond(Gear:logEffort)","cond(Gear:Occlusion)","cond(Gear:SecchiDepth)","R2.LR","df","logLik","AICc","delta","weight"
1.113415968618,"+",NA,"+",-0.0481651019110701,"+",0.00113961749297472,NA,-0.154769732665169,NA,NA,NA,"+","+",NA,0.214889538028125,14,-148.151551980849,330.390060483437,18.0620077928543,2.53324397382232e-06
1.00038715012583,"+",NA,"+",0.119652379052378,NA,-0.0409321727940197,NA,-0.231709734604316,NA,NA,NA,NA,"+","+",0.187162290917584,13,-149.609247913928,330.418495827857,18.0904431372738,2.49748197001446e-06
1.17089411397332,"+",NA,"+",NA,"+",-0.0647923871092925,NA,-0.115794376521259,"+",0.0732003919873538,NA,NA,"+",NA,0.214465645238081,14,-148.174222284694,330.435401091128,18.1073484005447,2.47646064283248e-06
1.20080483011426,"+",NA,"+",0.12241524437531,"+",-0.0234928258089567,"+",-0.301294473236721,NA,NA,NA,NA,"+","+",0.241669902172933,15,-146.693914778943,330.446653087298,18.1186003967151,2.46256719888834e-06
1.24213050136907,"+",NA,"+",-0.0730774453042993,"+",-0.0533353163360246,NA,NA,"+",NA,NA,"+","+",NA,0.241436131522015,15,-146.706860136542,330.472543802495,18.1444911119118,2.43089383969261e-06
1.15754403093694,"+",NA,"+",NA,"+",-0.0936525449083214,NA,-0.241786961398774,"+",0.0720555996965615,NA,NA,NA,"+",0.213846405182648,14,-148.207318019354,330.501592560448,18.173539869865,2.39584178716628e-06
1.10913140993087,"+",NA,"+",NA,NA,-0.0642155977050956,"+",-0.280125066588544,NA,NA,NA,NA,"+","+",0.186343663124106,13,-149.651525806448,330.503051612896,18.1749989223129,2.39409459514287e-06
1.07067413738847,"+",-0.150018048236036,"+",0.11247432781233,NA,-0.068491279885393,"+",-0.206425835163609,NA,NA,"+",NA,"+","+",0.294735808801134,17,-143.646970002461,330.566667277649,18.238614587066,2.31914199470329e-06
1.00338728588508,"+",NA,"+",NA,NA,-0.069965028476966,NA,-0.217275885095063,NA,0.107027911258565,NA,NA,"+","+",0.185642548874885,13,-149.687700930399,330.575401860799,18.2473491702156,2.30903571001828e-06
1.10490597297154,"+",NA,"+",NA,"+",-0.0233664533525162,NA,-0.255542292771303,NA,NA,NA,NA,NA,"+",0.129689028242614,11,-152.47865081902,330.623968304707,18.295915614124,2.25364019623509e-06
1.29241394219325,"+",NA,"+",-0.0680172526431661,"+",-0.0428739667153866,NA,-0.124112863887593,"+",NA,NA,"+","+",NA,0.267207835363574,16,-145.255135261956,330.629673508986,18.3016208184031,2.24722061799405e-06
1.12053172353848,"+",NA,"+",NA,"+",0.00979729981968451,NA,-0.139102507022233,NA,NA,NA,NA,"+",NA,0.129358108972089,11,-152.494617488568,330.655901643803,18.3278489532201,2.21794281049401e-06
1.05454040389592,"+",NA,"+",0.0700213604431754,"+",-0.00463531780359148,NA,NA,NA,0.0911989513997288,NA,NA,"+",NA,0.157008891442086,12,-151.139095426229,330.67255704964,18.3445043590573,2.19954913650503e-06
1.06838348064364,"+",NA,"+",-0.0570442177441134,NA,-0.103079695883056,NA,-0.115059322801054,"+",0.0595641267235451,NA,"+","+",NA,0.26626039138391,16,-145.30940296131,330.738208907694,18.4101562171112,2.1285190844216e-06
0.99055126834513,"+",-0.188118316333553,"+",-0.0640382322124072,NA,-0.086167273379791,NA,-0.128207377956363,NA,0.0838310104859866,"+","+","+","+",0.346420527412292,19,-140.450419909732,330.775839819463,18.4477871288805,2.08884444615767e-06
